998 B C
4 A 34
11 A 116
11 A 252
20 A 86
20 A 260
21 A 48
25 A 232
26 A 56
26 A 95
26 A 130
26 A 168
26 A 267
55 A 94
65 A 2
66 A 176
69 A 36
69 A 108
73 A 115
84 A 46
106 A 137
118 A 152
119 A 81
126 A 163
127 A 92
142 A 109
143 A 210
146 A 9
146 A 71
146 A 213
146 A 280
146 A 309
149 A 76
154 A 189
160 A 322
180 A 141
180 A 208
190 A 83
190 A 120
192 A 88
192 A 262
192 A 355
195 A 167
195 A 266
195 A 327
195 A 426
197 A 236
201 A 273
204 A 3
204 A 241
204 A 338
204 A 372
204 A 403
207 A 244
207 A 306
211 A 376
212 A 248
324 A 265
330 A 299
335 A 369
336 A 202
336 A 274
336 A 370
336 A 433
337 A 203
337 A 240
337 A 402
347 A 117
347 A 253
347 A 442
347 A 542
361 A 328
361 A 456
361 A 522
361 A 557
361 A 589
363 A 458
375 A 472
385 A 150
388 A 286
388 A 317
388 A 446
388 A 545
388 A 613
391 A 320
405 A 469
405 A 566
405 A 599
410 A 215
410 A 311
410 A 380
410 A 477
410 A 503
411 A 186
411 A 251
411 A 312
411 A 608
418 A 447
420 A 392
422 A 356
445 A 257
445 A 285
445 A 349
445 A 387
445 A 482
445 A 576
445 A 612
459 A 268
459 A 364
459 A 629
471 A 437
471 A 534
471 A 703
474 A 439
474 A 500
491 A 520
510 A 416
510 A 578
518 A 553
523 A 628
525 A 460
528 A 400
528 A 465
528 A 669
528 A 731
528 A 764
530 A 672
536 A 501
536 A 604
536 A 643
536 A 706
536 A 740
552 A 488
561 A 334
561 A 730
562 A 596
565 A 339
565 A 468
581 A 551
585 A 623
586 A 423
586 A 454
586 A 554
586 A 657
586 A 791
598 A 699
598 A 733
598 A 767
610 A 574
617 A 390
617 A 419
617 A 715
617 A 749
617 A 856
619 A 516
619 A 684
619 A 716
619 A 752
619 A 785
619 A 857
639 A 498
639 A 533
639 A 600
639 A 804
639 A 874
640 A 875
641 A 602
645 A 606
654 A 421
654 A 450
654 A 621
654 A 754
654 A 787
655 A 622
655 A 688
671 A 597
671 A 801
671 A 903
676 A 738
677 A 569
677 A 769
711 A 746
717 A 517
717 A 620
717 A 685
717 A 823
717 A 888
722 A 493
722 A 894
722 A 955
735 A 701
743 A 879
751 A 784
753 A 984
761 A 727
772 A 708
774 A 710
774 A 745
776 A 914
777 A 747
778 A 817
800 A 839
831 A 662
836 A 594
836 A 797
836 A 927
836 A 961
843 A 806
844 A 807
845 A 809
861 A 891
889 A 688
889 A 860
889 A 921
895 A 925
896 A 693
896 A 759
896 A 957
901 A 762
901 A 798
901 A 837
901 A 962
911 A 707
911 A 878
953 A 827
953 A 892
954 A 990
974 A 938
977 A 773
977 A 941
185 M 168 4
97 M 438 1
870 M 27 21
201 M 29 5
270 M 1 6
444 M 218 13
803 M 75 23
233 M 418 5
351 M 278 9
25 M 399 0
652 M 268 19
164 M 378 5
721 M 385 18
66 M 59 1
337 M 0 0
968 M 58 29
11 M 190 0
112 M 148 1
436 M 78 11
550 M 308 17
180 M 100 5
811 M 168 22
4 M 66 1
527 M 8 14
335 M 19 9
647 M 188 18
525 M 459 14
188 M 238 5
722 M 0 0
846 M 145 22
571 M 148 18
411 M 0 0
601 M 98 16
323 M 358 7
6 M 88 1
74 M 188 1
670 M 29 18
283 M 218 7
821 M 298 23
548 M 288 14
641 M 106 15
862 M 395 20
69 M 100 2
243 M 75 4
211 M 131 5
21 M 316 1
506 M 195 11
